Sentence,Rating,llm_gene_CEFR1,llm_gene_CEFR2,llm_gene_CEFR3,P_CEFR1,P_CEFR2,P_CEFR3,R_CEFR1,R_CEFR2,R_CEFR3,STS_CEFR1,STS_CEFR2,STS_CEFR3,AS_CEFR1,AS_CEFR2,AS_CEFR3,CP_CEFR1,CP_CEFR2,CP_CEFR3,REFEREE_CEFR1,REFEREE_CEFR2,REFEREE_CEFR3,SLEDELTA_CEFR1,SLEDELTA_CEFR2,SLEDELTA_CEFR3,COLA_CEFR1,COLA_CEFR2,COLA_CEFR3,pred_1,pred_2,pred_3
Shall we include diagrams in our sociology presentation ?,4,Do we need pictures on our presentation?,Should we include pictures in our presentation?,Should we put diagrams in our sociology presentation ?,0.6264,0.8315408,0.9101916,0.57670516,0.76058555,0.91019785,0.5669164657592773,0.5629070401191711,0.97232323884964,0.4934901297092438,0.2110831290483474,0.7280014157295227,0.0,0.0,0.0,0.3680543005466461,0.5150333642959595,0.3885180354118347,2.923775792121887,2.8333600759506226,1.76474130153656,1,1,1,2,2,3
The students celebrating the Japanese Women's Team win stayed up late into the night but cleaned up their mess before they left .,4,Students who cheered for Japan stayed up late and then cleaned up.,"When the Japanese Women's Team won, the students who celebrated cleaned up before they left.",Students who stayed up late to celebrate the Japanese Women's Team win cleaned up before they left.,0.54318833,0.64743537,0.7595236,0.33341917,0.50570065,0.6515617,0.8004623055458069,0.8395000696182251,0.9286555647850036,0.945734977722168,0.9426390528678894,0.9438791275024414,0.0,0.0,0.0,0.5440535545349121,0.0491677857935428,0.5825925469398499,1.475456476211548,-0.2890925407409668,0.4597938060760498,1,1,1,3,3,3
It 's nice to see more interracial couples who are accepting of our differences .,4,It's nice to see people from different countries as friends.,It 's nice to see people from different countries getting along.,It 's good to see people from different races getting along.,0.4132917,0.41902843,0.47811514,0.23454578,0.30703983,0.36082292,0.40595343708992,0.5193477869033813,0.6805922985076904,0.4773967862129211,0.7018270492553711,0.8373484015464783,0.0,0.0,0.0,0.4231644868850708,0.4418729841709137,0.621911346912384,0.6162152290344238,0.5438375473022461,0.5681519508361816,1,1,1,2,2,2
Nothing you do or say will ever stop Sally from chasing her dream of becoming a veterinarian .,4,You can't stop Sally from being a vet. (No simplification is needed here),"No matter what you do or say, Sally wants to be a vet.",You can't stop Sally from becoming a vet.,0.22299454,0.55765563,0.62518525,0.29107907,0.44518226,0.34340587,0.7779898047447205,0.8134846091270447,0.8149381875991821,0.7186865210533142,0.9568312168121338,0.9030850529670716,0.0,0.0,0.0,0.2503989338874817,0.8108702301979065,0.7005302906036377,-0.8574981689453125,0.2038030624389648,1.1347379684448242,1,1,1,3,3,3
Saturn is a ringed planet .,4,Saturn has a big ring.,Saturn has a ring system.,Saturn has rings.,0.33492532,0.47376296,0.60607535,0.07061294,0.23373681,0.20536812,0.883694052696228,0.8930396437644958,0.9058492183685304,0.5985010266304016,0.8852357268333435,0.9596319198608398,0.0,0.0,0.0,0.571283757686615,0.5405738949775696,0.3410695195198059,0.4214859008789062,0.421086311340332,0.1285490989685058,1,1,1,1,2,2
The wizard whom he lost was his godfather .,4,He lost his grandfather.,"He lost his godfather, a wizard.",His godfather was the wizard he lost.,0.5558094,0.5802764,0.66890293,0.21591902,0.44578713,0.53147405,0.539019763469696,0.9261268377304076,0.950540006160736,0.2329554706811905,0.9682360291481018,0.9602609276771544,0.0,0.0,0.0,0.1013796627521514,0.5344973802566528,0.6317895650863647,0.0204520225524902,0.0274877548217773,-0.0066461563110351,1,1,1,1,2,3
They should fire that awful accountant .,4,They should get rid of the accountant.,They should fire the bad accountant.,They should get rid of the bad accountant.,0.6921899,0.8465221,0.66193515,0.53577393,0.6934996,0.56933564,0.8827170133590698,0.9559229612350464,0.9011154770851136,0.9522254467010498,0.972208559513092,0.9582951068878174,0.0,0.0,0.0,0.4694474935531616,0.5748693346977234,0.6418296694755554,0.1659536361694336,0.3581981658935547,0.6356937885284424,1,1,1,2,2,2
Thinking about the impossible will keep you agitated .,4,Don't think about things that can't happen.,Thinking about bad things can make you feel anxious.,Thinking about things that can't happen will make you worried.,0.45380092,0.6187463,0.6230882,0.29505706,0.5311762,0.6169109,0.4900088310241699,0.5429219603538513,0.5600790977478027,0.4552558958530426,0.8323327898979187,0.8682405948638916,0.0,0.0,0.0,0.0757995098829269,0.7594389319419861,0.9107864499092102,-1.1310067176818848,0.1510107517242431,0.1952240467071533,1,1,1,2,3,2
The woman whom some claimed to be the missing daughter of the Czar was proved to be a fraud .,4,"Some people thought she was important, but she wasn't.","People thought she was the Czar's missing daughter, but that was not true.",Some people thought she was the Czar's daughter but she was not.,0.37390423,0.50987434,0.5104156,0.24596329,0.45180047,0.42130163,0.322788268327713,0.7392259836196899,0.7145277261734009,0.3072563707828522,0.9351534843444824,0.7596654891967773,0.0,0.0,0.0,0.0707117170095443,0.8711361885070801,0.6381018161773682,1.6977901458740234,1.6757254600524902,1.7997312545776367,1,1,1,2,2,2
He puts Jamaican jerk on his meat .,4,He likes spicy food with his meat.,He likes to add a special spice to his meat.,He adds Jamaican jerk to his meat.,0.6130916,0.61254966,0.89211434,0.43086386,0.43306792,0.78286487,0.539685070514679,0.5764768123626709,0.945860743522644,0.6753140091896057,0.5411943793296814,0.8838292360305786,0.0,0.0,0.0,0.4337975978851318,0.5373804569244385,0.8650066256523132,-0.021681785583496,-0.1353449821472168,-0.0224900245666503,1,1,1,3,3,3
