Sentence,Rating,llm_gene_CEFR1,llm_gene_CEFR2,llm_gene_CEFR3,pred_1,pred_2,pred_3
Shall we include diagrams in our sociology presentation ?,4,Do we need pictures in our presentation ?,Do you think we should put pictures in our presentation ?,Should we include pictures in our sociology project ?,2,2,3
The students celebrating the Japanese Women's Team win stayed up late into the night but cleaned up their mess before they left .,4,They cleaned up after themselves .,Students who celebrated the win cleaned up before they left .,Students who stayed up late to celebrate Japan 's women 's team win cleaned up after themselves before leaving . (split into two separate sentences),1,3,4
It 's nice to see more interracial couples who are accepting of our differences .,4,People like people who are different .,People from different races are friends .,We should accept people of different races as friends .,1,2,2
Nothing you do or say will ever stop Sally from chasing her dream of becoming a veterinarian .,4,Sally wants to be a doctor for animals .,You can't stop Sally from being a vet because she really wants to .,You can 't stop Sally from becoming a vet because she really wants to .,2,3,3
Saturn is a ringed planet .,4,Saturn has a ring . (or) Saturn has rings around it .,Saturn is a planet with rings .A2 CEFR level language learners can read and understand this text.,Saturn is a planet with rings .,3,3,3
The wizard whom he lost was his godfather .,4,He lost his grandfather . (A1 level),"He lost his godfather, who was a wizard .","He had lost his godfather, who was a wizard .(Note:This example uses both deletion and paraphrasing to simplify the original sentence.)",2,3,5
They should fire that awful accountant .,4,They should get rid of the bad accountant .,We need to fire the accountant because he is very bad.,They should fire the bad accountant .,2,2,2
Thinking about the impossible will keep you agitated .,4,Bad thoughts can make you worried .,It's frustrating to think about things that can't happen .,Thinking about the impossible can be frustrating . or Thinking about things that can never happen can be annoying .,2,3,3
The woman whom some claimed to be the missing daughter of the Czar was proved to be a fraud .,4,"Some people thought she was the Czar's daughter , but she wasn't .","People thought she was the Czar's missing daughter, but it was a mistake .","Some people said she was the missing daughter of the Russian Czar, but she turned out to be a fake.",2,2,3
He puts Jamaican jerk on his meat .,4,He adds salt to his meat .,He likes spicy food .,He puts spicy Jamaican seasoning on his meat .,2,2,3
"Unfortunately , she is a parent whose rules must be enforced through guilt and manipulation instead of reason and trust .",4,She makes her children listen to her using tricks and guilt .,She has to use guilt and tricks to get her kids to listen to her because they don't trust her .,"Unfortunately , she is a parent who often has to use guilt and manipulation to get her children to follow the rules .",3,3,4
Hold your nostrils closed before you dive in .,4,"Before you jump in the water , close your nose .",Hold your nose shut before you jump in the water .,"Before you dive in , hold your nose shut .",2,2,2
They raced their motorcycles through a dangerous intersection .,4,They drove quickly through the traffic .,People were driving their motorbikes fast through a crowded area .,"They drove their motorcycles quickly through a busy crossing . (In this example, the word ""racing"" has been replaced with ""drove quickly"".)",2,3,4
Three Russian diplomats were expelled from the U.S.,4,Some Russian diplomats have to go home from America.,Russia has lost three diplomats in America.,Three Russian diplomats have been kicked out of the USA.,2,2,3
"If I were an engineer , I would look for a chemical safer than water to use for geothermal energy production .",4,"If I were an engineer , I would find a better way to get heat from the earth .","If I were an engineer , I would find a cleaner liquid than water to use for geothermal energy . (Note: ""safer"" has been replaced by ""cleaner"", which is a simpler synonym.)","If I were an engineer , I would find a safer liquid than water to use for geothermal energy production .",3,4,4
There have been many opposition groups against Hitler 's ideology for decades now .,4,Some people don't like Hitler 's ideas .,Many people didn't like Hitler 's ideas .,There have been many people who disagree with Hitler 's ideas for a long time .,2,2,3
